G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
2,Sep 7 2019,7:30 PM,Sat,Western Michigan,@,(19) Michigan State,Big Ten,L,17,51,1,1,L 1,,
3,Sep 14 2019,7:00 PM,Sat,Western Michigan,,Georgia State,Sun Belt,W,57,10,2,1,W 1,,
4,Sep 21 2019,12:00 PM,Sat,Western Michigan,@,Syracuse,ACC,L,33,52,2,2,L 1,,
5,Sep 28 2019,12:00 PM,Sat,Western Michigan,,Central Michigan,MAC,W,31,15,3,2,W 1,,
6,Oct 5 2019,3:30 PM,Sat,Western Michigan,@,Toledo,MAC,L,24,31,3,3,L 1,,
7,Oct 12 2019,12:00 PM,Sat,Western Michigan,,Miami (OH),MAC,W,38,16,4,3,W 1,,
8,Oct 19 2019,7:00 PM,Sat,Western Michigan,@,Eastern Michigan,MAC,L,27,34,4,4,L 1,,
9,Oct 26 2019,12:00 PM,Sat,Western Michigan,,Bowling Green State,MAC,,,,,,,,
10,Nov 5 2019,12:00 PM,Tue,Western Michigan,,Ball State,MAC,,,,,,,,
11,Nov 12 2019,12:00 PM,Tue,Western Michigan,@,Ohio,MAC,,,,,,,,
12,Nov 26 2019,7:00 PM,Tue,Western Michigan,@,Northern Illinois,MAC,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,Eastern Michigan,@,Coastal Carolina,Sun Belt,W,30,23,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,Eastern Michigan,@,Kentucky,SEC,L,17,38,1,1,L 1,,
3,Sep 14 2019,12:00 PM,Sat,Eastern Michigan,@,Illinois,Big Ten,W,34,31,2,1,W 1,,
4,Sep 21 2019,3:00 PM,Sat,Eastern Michigan,,Central Connecticut State,Non-Major,W,34,29,3,1,W 2,,
5,Oct 5 2019,3:00 PM,Sat,Eastern Michigan,@,Central Michigan,MAC,L,16,42,3,2,L 1,,
6,Oct 12 2019,2:00 PM,Sat,Eastern Michigan,,Ball State,MAC,L,23,29,3,3,L 2,,
7,Oct 19 2019,7:00 PM,Sat,Eastern Michigan,,Western Michigan,MAC,W,34,27,4,3,W 1,,
8,Oct 26 2019,3:30 PM,Sat,Eastern Michigan,@,Toledo,MAC,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Eastern Michigan,,Buffalo,MAC,,,,,,,,
10,Nov 12 2019,12:00 PM,Tue,Eastern Michigan,@,Akron,MAC,,,,,,,,
11,Nov 19 2019,7:30 PM,Tue,Eastern Michigan,@,Northern Illinois,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Eastern Michigan,,Kent State,MAC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Toledo,@,Kentucky,SEC,L,24,38,0,1,L 1,,
2,Sep 14 2019,7:00 PM,Sat,Toledo,,Murray State,Non-Major,W,45,0,1,1,W 1,,
3,Sep 21 2019,10:15 PM,Sat,Toledo,@,Colorado State,MWC,W,41,35,2,1,W 2,,
4,Sep 28 2019,12:00 PM,Sat,Toledo,,Brigham Young,Ind,W,28,21,3,1,W 3,,
5,Oct 5 2019,3:30 PM,Sat,Toledo,,Western Michigan,MAC,W,31,24,4,1,W 4,,
6,Oct 12 2019,12:00 PM,Sat,Toledo,@,Bowling Green State,MAC,L,7,20,4,2,L 1,,
7,Oct 19 2019,2:00 PM,Sat,Toledo,@,Ball State,MAC,L,14,52,4,3,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Toledo,,Eastern Michigan,MAC,,,,,,,,
9,Nov 5 2019,12:00 PM,Tue,Toledo,,Kent State,MAC,,,,,,,,
10,Nov 13 2019,8:00 PM,Wed,Toledo,,Northern Illinois,MAC,,,,,,,,
11,Nov 20 2019,7:30 PM,Wed,Toledo,@,Buffalo,MAC,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Toledo,@,Central Michigan,MAC,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Northern Illinois,,Illinois State,Non-Major,W,24,10,1,0,W 1,,
2,Sep 7 2019,1:00 PM,Sat,Northern Illinois,@,(13) Utah,Pac-12,L,17,35,1,1,L 1,,
3,Sep 14 2019,8:00 PM,Sat,Northern Illinois,@,Nebraska,Big Ten,L,8,44,1,2,L 2,,
4,Sep 28 2019,12:00 PM,Sat,Northern Illinois,@,Vanderbilt,SEC,L,18,24,1,3,L 3,,
5,Oct 5 2019,3:30 PM,Sat,Northern Illinois,,Ball State,MAC,L,20,27,1,4,L 4,,
6,Oct 12 2019,3:30 PM,Sat,Northern Illinois,@,Ohio,MAC,W,39,36,2,4,W 1,,
7,Oct 19 2019,2:30 PM,Sat,Northern Illinois,@,Miami (OH),MAC,L,24,27,2,5,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Northern Illinois,,Akron,MAC,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,Northern Illinois,@,Central Michigan,MAC,,,,,,,,
10,Nov 13 2019,8:00 PM,Wed,Northern Illinois,@,Toledo,MAC,,,,,,,,
11,Nov 19 2019,7:30 PM,Tue,Northern Illinois,,Eastern Michigan,MAC,,,,,,,,
12,Nov 26 2019,7:00 PM,Tue,Northern Illinois,,Western Michigan,MAC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Boise State,@,Florida State,ACC,W,36,31,1,0,W 1,,
2,Sep 6 2019,9:00 PM,Fri,(24) Boise State,,Marshall,CUSA,W,14,7,2,0,W 2,,
3,Sep 14 2019,10:15 PM,Sat,(22) Boise State,,Portland State,Non-Major,W,45,10,3,0,W 3,,
4,Sep 20 2019,9:00 PM,Fri,(20) Boise State,,Air Force,MWC,W,30,19,4,0,W 4,,
5,Oct 5 2019,10:30 PM,Sat,(16) Boise State,@,Nevada-Las Vegas,MWC,W,38,13,5,0,W 5,,
6,Oct 12 2019,10:15 PM,Sat,(14) Boise State,,Hawaii,MWC,W,59,37,6,0,W 6,,
7,Oct 19 2019,10:15 PM,Sat,(14) Boise State,@,Brigham Young,Ind,L,25,28,6,1,L 1,,
8,Nov 2 2019,10:30 PM,Sat,(22) Boise State,@,San Jose State,MWC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(22) Boise State,,Wyoming,MWC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(22) Boise State,,New Mexico,MWC,,,,,,,,
11,Nov 23 2019,10:30 PM,Sat,(22) Boise State,@,Utah State,MWC,,,,,,,,
12,Nov 29 2019,3:30 PM,Fri,(22) Boise State,@,Colorado State,MWC,,,,,,,,
1,Aug 30 2019,8:00 PM,Fri,Utah State,@,Wake Forest,ACC,L,35,38,0,1,L 1,,
2,Sep 7 2019,7:30 PM,Sat,Utah State,,Stony Brook,Non-Major,W,62,7,1,1,W 1,,
3,Sep 21 2019,10:30 PM,Sat,Utah State,@,San Diego State,MWC,W,23,17,2,1,W 2,,
4,Sep 28 2019,7:30 PM,Sat,Utah State,,Colorado State,MWC,W,34,24,3,1,W 3,,
5,Oct 5 2019,12:00 PM,Sat,Utah State,@,(5) LSU,SEC,L,6,42,3,2,L 1,,
6,Oct 19 2019,10:15 PM,Sat,Utah State,,Nevada,MWC,W,36,10,4,2,W 1,,
7,Oct 26 2019,10:15 PM,Sat,Utah State,@,Air Force,MWC,,,,,,,,
8,Nov 2 2019,10:00 PM,Sat,Utah State,,Brigham Young,Ind,,,,,,,,
9,Nov 9 2019,7:00 PM,Sat,Utah State,@,Fresno State,MWC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Utah State,,Wyoming,MWC,,,,,,,,
11,Nov 23 2019,10:30 PM,Sat,Utah State,,(22) Boise State,MWC,,,,,,,,
12,Nov 30 2019,4:00 PM,Sat,Utah State,@,New Mexico,MWC,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,Air Force,,Colgate,Non-Major,W,48,7,1,0,W 1,,
2,Sep 14 2019,1:00 PM,Sat,Air Force,@,Colorado,Pac-12,W,30,23,2,0,W 2,,
3,Sep 20 2019,9:00 PM,Fri,Air Force,@,(20) Boise State,MWC,L,19,30,2,1,L 1,,
4,Sep 27 2019,8:00 PM,Fri,Air Force,,San Jose State,MWC,W,41,24,3,1,W 1,,
5,Oct 5 2019,3:30 PM,Sat,Air Force,@,Navy,American,L,25,34,3,2,L 1,,
6,Oct 12 2019,7:00 PM,Sat,Air Force,,Fresno State,MWC,W,43,24,4,2,W 1,,
7,Oct 19 2019,11:00 PM,Sat,Air Force,@,Hawaii,MWC,W,56,26,5,2,W 2,,
8,Oct 26 2019,10:15 PM,Sat,Air Force,,Utah State,MWC,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Air Force,,Army,Ind,,,,,,,,
10,Nov 9 2019,2:00 PM,Sat,Air Force,@,New Mexico,MWC,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,Air Force,@,Colorado State,MWC,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Air Force,,Wyoming,MWC,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Wyoming,,Missouri,SEC,W,37,31,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,Wyoming,@,Texas State,Sun Belt,W,23,14,2,0,W 2,,
3,Sep 14 2019,5:00 PM,Sat,Wyoming,,Idaho,Non-Major,W,21,16,3,0,W 3,,
4,Sep 21 2019,3:30 PM,Sat,Wyoming,@,Tulsa,American,L,21,24,3,1,L 1,,
5,Sep 28 2019,8:00 PM,Sat,Wyoming,,Nevada-Las Vegas,MWC,W,53,17,4,1,W 1,,
6,Oct 12 2019,10:30 PM,Sat,Wyoming,@,San Diego State,MWC,L,22,26,4,2,L 1,,
7,Oct 19 2019,3:00 PM,Sat,Wyoming,,New Mexico,MWC,W,23,10,5,2,W 1,,
8,Oct 26 2019,2:00 PM,Sat,Wyoming,,Nevada,MWC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Wyoming,@,(22) Boise State,MWC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Wyoming,@,Utah State,MWC,,,,,,,,
11,Nov 22 2019,9:30 PM,Fri,Wyoming,,Colorado State,MWC,,,,,,,,
12,Nov 30 2019,2:00 PM,Sat,Wyoming,@,Air Force,MWC,,,,,,,,
1,Aug 30 2019,10:00 PM,Fri,Colorado State,N,Colorado,Pac-12,L,31,52,0,1,L 1,,
2,Sep 7 2019,4:00 PM,Sat,Colorado State,,Western Illinois,Non-Major,W,38,13,1,1,W 1,,
3,Sep 14 2019,4:00 PM,Sat,Colorado State,@,Arkansas,SEC,L,34,55,1,2,L 1,,
4,Sep 21 2019,10:15 PM,Sat,Colorado State,,Toledo,MAC,L,35,41,1,3,L 2,,
5,Sep 28 2019,7:30 PM,Sat,Colorado State,@,Utah State,MWC,L,24,34,1,4,L 3,,
6,Oct 5 2019,10:00 PM,Sat,Colorado State,,San Diego State,MWC,L,10,24,1,5,L 4,,
7,Oct 11 2019,8:00 PM,Fri,Colorado State,@,New Mexico,MWC,W,35,21,2,5,W 1,,
8,Oct 26 2019,7:30 PM,Sat,Colorado State,@,Fresno State,MWC,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Colorado State,,Nevada-Las Vegas,MWC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Colorado State,,Air Force,MWC,,,,,,,,
11,Nov 22 2019,9:30 PM,Fri,Colorado State,@,Wyoming,MWC,,,,,,,,
12,Nov 29 2019,3:30 PM,Fri,Colorado State,,(22) Boise State,MWC,,,,,,,,
1,Aug 31 2019,6:00 PM,Sat,New Mexico,,Sam Houston State,Non-Major,W,39,31,1,0,W 1,,
2,Sep 14 2019,2:30 PM,Sat,New Mexico,@,(7) Notre Dame,Ind,L,14,66,1,1,L 1,,
3,Sep 21 2019,4:30 PM,Sat,New Mexico,,New Mexico State,Ind,W,55,52,2,1,W 1,,
4,Sep 28 2019,6:00 PM,Sat,New Mexico,@,Liberty,Ind,L,10,17,2,2,L 1,,
5,Oct 4 2019,10:00 PM,Fri,New Mexico,@,San Jose State,MWC,L,21,32,2,3,L 2,,
6,Oct 11 2019,8:00 PM,Fri,New Mexico,,Colorado State,MWC,L,21,35,2,4,L 3,,
7,Oct 19 2019,3:00 PM,Sat,New Mexico,@,Wyoming,MWC,L,10,23,2,5,L 4,,
8,Oct 26 2019,4:00 PM,Sat,New Mexico,,Hawaii,MWC,,,,,,,,
9,Nov 2 2019,10:30 PM,Sat,New Mexico,@,Nevada,MWC,,,,,,,,
10,Nov 9 2019,2:00 PM,Sat,New Mexico,,Air Force,MWC,,,,,,,,
11,Nov 16 2019,12:00 PM,Sat,New Mexico,@,(22) Boise State,MWC,,,,,,,,
12,Nov 30 2019,4:00 PM,Sat,New Mexico,,Utah State,MWC,,,,,,,,
1,Aug 31 2019,9:00 PM,Sat,San Diego State,,Weber State,Non-Major,W,6,0,1,0,W 1,,
2,Sep 7 2019,4:15 PM,Sat,San Diego State,@,UCLA,Pac-12,W,23,14,2,0,W 2,,
3,Sep 14 2019,8:00 PM,Sat,San Diego State,@,New Mexico State,Ind,W,31,10,3,0,W 3,,
4,Sep 21 2019,10:30 PM,Sat,San Diego State,,Utah State,MWC,L,17,23,3,1,L 1,,
5,Oct 5 2019,10:00 PM,Sat,San Diego State,@,Colorado State,MWC,W,24,10,4,1,W 1,,
6,Oct 12 2019,10:30 PM,Sat,San Diego State,,Wyoming,MWC,W,26,22,5,1,W 2,,
7,Oct 19 2019,7:00 PM,Sat,San Diego State,@,San Jose State,MWC,W,27,17,6,1,W 3,,
8,Oct 26 2019,10:30 PM,Sat,San Diego State,@,Nevada-Las Vegas,MWC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,San Diego State,,Nevada,MWC,,,,,,,,
10,Nov 15 2019,9:30 PM,Fri,San Diego State,,Fresno State,MWC,,,,,,,,
11,Nov 23 2019,11:00 PM,Sat,San Diego State,@,Hawaii,MWC,,,,,,,,
12,Nov 30 2019,9:00 PM,Sat,San Diego State,,Brigham Young,Ind,,,,,,,,
1,Aug 31 2019,10:30 PM,Sat,Fresno State,@,USC,Pac-12,L,23,31,0,1,L 1,,
2,Sep 7 2019,10:30 PM,Sat,Fresno State,,Minnesota,Big Ten,L,35,38,0,2,L 2,,
3,Sep 21 2019,10:00 PM,Sat,Fresno State,,Sacramento State,Non-Major,W,34,20,1,2,W 1,,
4,Sep 28 2019,8:00 PM,Sat,Fresno State,@,New Mexico State,Ind,W,30,17,2,2,W 2,,
5,Oct 12 2019,7:00 PM,Sat,Fresno State,@,Air Force,MWC,L,24,43,2,3,L 1,,
6,Oct 18 2019,10:00 PM,Fri,Fresno State,,Nevada-Las Vegas,MWC,W,56,27,3,3,W 1,,
7,Oct 26 2019,7:30 PM,Sat,Fresno State,,Colorado State,MWC,,,,,,,,
8,Nov 2 2019,11:59 PM,Sat,Fresno State,@,Hawaii,MWC,,,,,,,,
9,Nov 9 2019,7:00 PM,Sat,Fresno State,,Utah State,MWC,,,,,,,,
10,Nov 15 2019,9:30 PM,Fri,Fresno State,@,San Diego State,MWC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Fresno State,,Nevada,MWC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Fresno State,@,San Jose State,MWC,,,,,,,,
1,Aug 24 2019,10:30 PM,Sat,Hawaii,,Arizona,Pac-12,W,45,38,1,0,W 1,,
2,Sep 7 2019,11:59 PM,Sat,Hawaii,,Oregon State,Pac-12,W,31,28,2,0,W 2,,
3,Sep 14 2019,7:30 PM,Sat,Hawaii,@,(23) Washington,Pac-12,L,20,52,2,1,L 1,,
4,Sep 21 2019,11:59 PM,Sat,Hawaii,,Central Arkansas,Non-Major,W,35,16,3,1,W 1,,
5,Sep 28 2019,10:30 PM,Sat,Hawaii,@,Nevada,MWC,W,54,3,4,1,W 2,,
6,Oct 12 2019,10:15 PM,Sat,Hawaii,@,(14) Boise State,MWC,L,37,59,4,2,L 1,,
7,Oct 19 2019,11:00 PM,Sat,Hawaii,,Air Force,MWC,L,26,56,4,3,L 2,,
8,Oct 26 2019,4:00 PM,Sat,Hawaii,@,New Mexico,MWC,,,,,,,,
9,Nov 2 2019,11:59 PM,Sat,Hawaii,,Fresno State,MWC,,,,,,,,
10,Nov 9 2019,11:00 PM,Sat,Hawaii,,San Jose State,MWC,,,,,,,,
11,Nov 16 2019,4:00 PM,Sat,Hawaii,@,Nevada-Las Vegas,MWC,,,,,,,,
12,Nov 23 2019,11:00 PM,Sat,Hawaii,,San Diego State,MWC,,,,,,,,
13,Nov 30 2019,11:59 PM,Sat,Hawaii,,Army,Ind,,,,,,,,
1,Aug 30 2019,9:30 PM,Fri,Nevada,,Purdue,Big Ten,W,34,31,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,Nevada,@,(16) Oregon,Pac-12,L,6,77,1,1,L 1,,
3,Sep 14 2019,7:00 PM,Sat,Nevada,,Weber State,Non-Major,W,19,13,2,1,W 1,,
4,Sep 21 2019,8:00 PM,Sat,Nevada,@,UTEP,CUSA,W,37,21,3,1,W 2,,
5,Sep 28 2019,10:30 PM,Sat,Nevada,,Hawaii,MWC,L,3,54,3,2,L 1,,
6,Oct 12 2019,4:00 PM,Sat,Nevada,,San Jose State,MWC,W,41,38,4,2,W 1,,
7,Oct 19 2019,10:15 PM,Sat,Nevada,@,Utah State,MWC,L,10,36,4,3,L 1,,
8,Oct 26 2019,2:00 PM,Sat,Nevada,@,Wyoming,MWC,,,,,,,,
9,Nov 2 2019,10:30 PM,Sat,Nevada,,New Mexico,MWC,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Nevada,@,San Diego State,MWC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Nevada,@,Fresno State,MWC,,,,,,,,
12,Nov 30 2019,3:00 PM,Sat,Nevada,,Nevada-Las Vegas,MWC,,,,,,,,
1,Aug 29 2019,10:00 PM,Thu,San Jose State,,Northern Colorado,Non-Major,W,35,18,1,0,W 1,,
2,Sep 7 2019,9:00 PM,Sat,San Jose State,,Tulsa,American,L,16,34,1,1,L 1,,
3,Sep 21 2019,7:30 PM,Sat,San Jose State,@,Arkansas,SEC,W,31,24,2,1,W 1,,
4,Sep 27 2019,8:00 PM,Fri,San Jose State,@,Air Force,MWC,L,24,41,2,2,L 1,,
5,Oct 4 2019,10:00 PM,Fri,San Jose State,,New Mexico,MWC,W,32,21,3,2,W 1,,
6,Oct 12 2019,4:00 PM,Sat,San Jose State,@,Nevada,MWC,L,38,41,3,3,L 1,,
7,Oct 19 2019,7:00 PM,Sat,San Jose State,,San Diego State,MWC,L,17,27,3,4,L 2,,
8,Oct 26 2019,12:00 PM,Sat,San Jose State,@,Army,Ind,,,,,,,,
9,Nov 2 2019,10:30 PM,Sat,San Jose State,,(22) Boise State,MWC,,,,,,,,
10,Nov 9 2019,11:00 PM,Sat,San Jose State,@,Hawaii,MWC,,,,,,,,
11,Nov 23 2019,4:00 PM,Sat,San Jose State,@,Nevada-Las Vegas,MWC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,San Jose State,,Fresno State,MWC,,,,,,,,
1,Aug 31 2019,10:00 PM,Sat,Nevada-Las Vegas,,Southern Utah,Non-Major,W,56,23,1,0,W 1,,
2,Sep 7 2019,10:00 PM,Sat,Nevada-Las Vegas,,Arkansas State,Sun Belt,L,17,43,1,1,L 1,,
3,Sep 14 2019,3:30 PM,Sat,Nevada-Las Vegas,@,Northwestern,Big Ten,L,14,30,1,2,L 2,,
4,Sep 28 2019,8:00 PM,Sat,Nevada-Las Vegas,@,Wyoming,MWC,L,17,53,1,3,L 3,,
5,Oct 5 2019,10:30 PM,Sat,Nevada-Las Vegas,,(16) Boise State,MWC,L,13,38,1,4,L 4,,
6,Oct 12 2019,4:00 PM,Sat,Nevada-Las Vegas,@,Vanderbilt,SEC,W,34,10,2,4,W 1,,
7,Oct 18 2019,10:00 PM,Fri,Nevada-Las Vegas,@,Fresno State,MWC,L,27,56,2,5,L 1,,
8,Oct 26 2019,10:30 PM,Sat,Nevada-Las Vegas,,San Diego State,MWC,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Nevada-Las Vegas,@,Colorado State,MWC,,,,,,,,
10,Nov 16 2019,4:00 PM,Sat,Nevada-Las Vegas,,Hawaii,MWC,,,,,,,,
11,Nov 23 2019,4:00 PM,Sat,Nevada-Las Vegas,,San Jose State,MWC,,,,,,,,
12,Nov 30 2019,3:00 PM,Sat,Nevada-Las Vegas,@,Nevada,MWC,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,(11) Oregon,N,(16) Auburn,SEC,L,21,27,0,1,L 1,,
2,Sep 7 2019,7:30 PM,Sat,(16) Oregon,,Nevada,MWC,W,77,6,1,1,W 1,,
3,Sep 14 2019,10:45 PM,Sat,(15) Oregon,,Montana,Non-Major,W,35,3,2,1,W 2,,
4,Sep 21 2019,7:00 PM,Sat,(16) Oregon,@,Stanford,Pac-12,W,21,6,3,1,W 3,,
5,Oct 5 2019,8:00 PM,Sat,(13) Oregon,,California,Pac-12,W,17,7,4,1,W 4,,
6,Oct 11 2019,10:00 PM,Fri,(13) Oregon,,Colorado,Pac-12,W,45,3,5,1,W 5,,
7,Oct 19 2019,3:30 PM,Sat,(12) Oregon,@,(25) Washington,Pac-12,W,35,31,6,1,W 6,,
8,Oct 26 2019,10:30 PM,Sat,(11) Oregon,,Washington State,Pac-12,,,,,,,,
9,Nov 2 2019,8:00 PM,Sat,(11) Oregon,@,USC,Pac-12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(11) Oregon,,Arizona,Pac-12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(11) Oregon,@,(24) Arizona State,Pac-12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(11) Oregon,,Oregon State,Pac-12,,,,,,,,
1,Aug 30 2019,10:30 PM,Fri,Oregon State,,Oklahoma State,Big 12,L,36,52,0,1,L 1,,
2,Sep 7 2019,11:59 PM,Sat,Oregon State,@,Hawaii,MWC,L,28,31,0,2,L 2,,
3,Sep 14 2019,4:15 PM,Sat,Oregon State,,Cal Poly,Non-Major,W,45,7,1,2,W 1,,
4,Sep 28 2019,7:00 PM,Sat,Oregon State,,Stanford,Pac-12,L,28,31,1,3,L 1,,
5,Oct 5 2019,9:00 PM,Sat,Oregon State,@,UCLA,Pac-12,W,48,31,2,3,W 1,,
6,Oct 12 2019,8:00 PM,Sat,Oregon State,,(15) Utah,Pac-12,L,7,52,2,4,L 1,,
7,Oct 19 2019,2:30 PM,Sat,Oregon State,@,California,Pac-12,W,21,17,3,4,W 1,,
8,Nov 2 2019,4:30 PM,Sat,Oregon State,@,Arizona,Pac-12,,,,,,,,
9,Nov 8 2019,10:30 PM,Fri,Oregon State,,Washington,Pac-12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Oregon State,,(24) Arizona State,Pac-12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Oregon State,@,Washington State,Pac-12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Oregon State,@,(11) Oregon,Pac-12,,,,,,,,
1,Aug 31 2019,3:00 PM,Sat,(13) Washington,,Eastern Washington,Non-Major,W,47,14,1,0,W 1,,
2,Sep 7 2019,10:30 PM,Sat,(14) Washington,,California,Pac-12,L,19,20,1,1,L 1,,
3,Sep 14 2019,7:30 PM,Sat,(23) Washington,,Hawaii,MWC,W,52,20,2,1,W 1,,
4,Sep 21 2019,3:30 PM,Sat,(22) Washington,@,Brigham Young,Ind,W,45,19,3,1,W 2,,
5,Sep 28 2019,3:30 PM,Sat,(17) Washington,,(21) USC,Pac-12,W,28,14,4,1,W 3,,
6,Oct 5 2019,10:30 PM,Sat,(15) Washington,@,Stanford,Pac-12,L,13,23,4,2,L 1,,
7,Oct 12 2019,11:00 PM,Sat,Washington,@,Arizona,Pac-12,W,51,27,5,2,W 1,,
8,Oct 19 2019,3:30 PM,Sat,(25) Washington,,(12) Oregon,Pac-12,L,31,35,5,3,L 1,,
9,Nov 2 2019,4:00 PM,Sat,Washington,,(12) Utah,Pac-12,,,,,,,,
10,Nov 8 2019,10:30 PM,Fri,Washington,@,Oregon State,Pac-12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Washington,@,Colorado,Pac-12,,,,,,,,
12,Nov 29 2019,4:00 PM,Fri,Washington,,Washington State,Pac-12,,,,,,,,
1,Aug 31 2019,4:00 PM,Sat,(25) Stanford,,Northwestern,Big Ten,W,17,7,1,0,W 1,,
2,Sep 7 2019,10:30 PM,Sat,(23) Stanford,@,USC,Pac-12,L,20,45,1,1,L 1,,
3,Sep 14 2019,3:30 PM,Sat,Stanford,@,(17) UCF,American,L,27,45,1,2,L 2,,
4,Sep 21 2019,7:00 PM,Sat,Stanford,,(16) Oregon,Pac-12,L,6,21,1,3,L 3,,
5,Sep 28 2019,7:00 PM,Sat,Stanford,@,Oregon State,Pac-12,W,31,28,2,3,W 1,,
6,Oct 5 2019,10:30 PM,Sat,Stanford,,(15) Washington,Pac-12,W,23,13,3,3,W 2,,
7,Oct 17 2019,9:00 PM,Thu,Stanford,,UCLA,Pac-12,L,16,34,3,4,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Stanford,,Arizona,Pac-12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Stanford,@,Colorado,Pac-12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Stanford,@,Washington State,Pac-12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Stanford,,California,Pac-12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Stanford,,(8) Notre Dame,Ind,,,,,,,,
1,Aug 31 2019,6:30 PM,Sat,California,,California-Davis,Non-Major,W,27,13,1,0,W 1,,
2,Sep 7 2019,10:30 PM,Sat,California,@,(14) Washington,Pac-12,W,20,19,2,0,W 2,,
3,Sep 14 2019,4:15 PM,Sat,California,,North Texas,CUSA,W,23,17,3,0,W 3,,
4,Sep 21 2019,12:00 PM,Sat,(23) California,@,Ole Miss,SEC,W,28,20,4,0,W 4,,
5,Sep 27 2019,10:30 PM,Fri,(15) California,,Arizona State,Pac-12,L,17,24,4,1,L 1,,
6,Oct 5 2019,8:00 PM,Sat,California,@,(13) Oregon,Pac-12,L,7,17,4,2,L 2,,
7,Oct 19 2019,2:30 PM,Sat,California,,Oregon State,Pac-12,L,17,21,4,3,L 3,,
8,Oct 26 2019,10:00 PM,Sat,California,@,(12) Utah,Pac-12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,California,,Washington State,Pac-12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,California,,USC,Pac-12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,California,@,Stanford,Pac-12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,California,@,UCLA,Pac-12,,,,,,,,
1,Aug 31 2019,10:00 PM,Sat,(23) Washington State,,New Mexico State,Ind,W,58,7,1,0,W 1,,
2,Sep 7 2019,5:00 PM,Sat,(22) Washington State,,Northern Colorado,Non-Major,W,59,17,2,0,W 2,,
3,Sep 13 2019,9:15 PM,Fri,(20) Washington State,N,Houston,American,W,31,24,3,0,W 3,,
4,Sep 21 2019,10:30 PM,Sat,(19) Washington State,,UCLA,Pac-12,L,63,67,3,1,L 1,,
5,Sep 28 2019,10:00 PM,Sat,Washington State,@,(19) Utah,Pac-12,L,13,38,3,2,L 2,,
6,Oct 12 2019,3:30 PM,Sat,Washington State,@,(18) Arizona State,Pac-12,L,34,38,3,3,L 3,,
7,Oct 19 2019,7:00 PM,Sat,Washington State,,Colorado,Pac-12,W,41,10,4,3,W 1,,
8,Oct 26 2019,10:30 PM,Sat,Washington State,@,(11) Oregon,Pac-12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Washington State,@,California,Pac-12,,,,,,,,
